SCHOOL NAME,DEFINITION,PRIMARY ADDRESS
Juarez H S,Public Schools,2150 S Laflin St
DuSable HS,Public Schools,4934 S Wabash Av
Kenwood Acad HS,Public Schools,5015 S Blackstone Av
Big Picture at Chavez,Public Schools,4946 S Paulina St
Richards HS,Public Schools,5009 S Laflin St
Curie HS,Public Schools,4959 S Archer Av
Dyett Middle,Public Schools,555 E 51st St
Hope College Prep,Public Schools,5515 S Lowe Av
Gage Park HS,Public Schools,5630 S Rockwell St
Kennedy HS,Public Schools,6325 W 56th St
Lindblom Tech HS,Public Schools,6130 S Wolcott Av
Englewood HS,Public Schools,6201 S Stewart Av
Hubbard HS,Public Schools,6200 S Hamlin Av
Harper HS,Public Schools,6520 S Wood St
Robeson,Public Schools,6835 S Normal Blvd
Hirsch Metro HS,Public Schools,7740 S Ingleside Av
Bogan Tech HS,Public Schools,3939 W 79th St
Calumet HS,Public Schools,8131 S May St
Chicago Vocational HS,Public Schools,2100 E 87th St
Bowen,Public Schools,2710 E 89th St
Carver HS,Public Schools,13100 S Carver Dr
Schurz HS,Public Schools,3601 N Milwaukee Av
Whitney Young HS,Public Schools,211 S Laflin St
Tilden HS,Public Schools,4747 S Union Av
Simeon,Public Schools,8235 S Vincennes Av
Harlan HS,Public Schools,9652 S Michigan Av
Corliss HS,Public Schools,821 E 103rd St
Julian HS,Public Schools,10330 S Elizabeth St
Brooks College Prep,Public Schools,250 E 111th St
Morgan Park HS,Public Schools,1744 W Pryor Av
Chicago Agricultural HS,Public Schools,3807 W 111th St
Fenger HS,Public Schools,11220 S Wallace St
South Shore HS,Public Schools,7529 S Constance Av
Washington HS,Public Schools,3535 E 114th St
IDOC/HEALY BR - N JEFFERSON ALT SCH,Public Schools,100 N WESTERN AVE
IDOC/HEALY SOUTH,Public Schools,8007 S COTTAGE GROVE AVE
NANCY B JEFFERSON ALT SCHOOL,Public Schools,1100 S HAMILTON AVE
NOBLE - ESCALANTE COLLEGE PREP,Public Schools,1460 W SUPERIOR ST
NOBLE - ROWE-CLARK MATH & SCI ACAD,Public Schools,3645 W CHICAGO AVE
PEACE AND EDUCATION COALITION HS,Public Schools,4541 S WOOD ST
SECOND CHANCE ALTERNATIVE HS,Public Schools,5114 S ELIZABETH ST
CONSUELLA B. YORK ALTERNATIVE HS,Public Schools,2700 S CALIFORNIA AVE
LINC ALT HIGH SCHOOL,Public Schools,5035 W NORTH AVE
Perspectives Charter,Public Schools,1915 S Federal St
CHGO. INT. CHARTER - RALPH ELLISON,Public Schools,1547 W 95TH ST
LITTLE VILLAGE CAMPUS,Public Schools,3120 S KOSTNER AV
Marshall Metro HS,Public Schools,3250 W Adams St
Walter Payton,Public Schools,1034 N Wells St
Westinghouse HS,Public Schools,3301 W Franklin Bl
Lake View HS,Public Schools,4015 N Ashland Av
Lane Tech HS,Public Schools,2501 W Addison St
Foreman HS,Public Schools,3235 N Leclaire Av
Sullivan HS,Public Schools,6631 N Bosworth Av
Chicago International Northtown,Public Schools,3900 W Peterson Av
Mather HS,Public Schools,5835 N Lincoln Av
Taft HS,Public Schools,6545 W Hurlbut St
Northside College Prep,Public Schools,5501 N Kedzie Av
Amundsen HS,Public Schools,5110 N Damen Av
Steinmetz HS,Public Schools,3030 N Mobile Av
Kelvyn Park HS,Public Schools,4343 W Wrightwood Av
Lincoln Park HS,Public Schools,2001 N Orchard St
Prosser Vocational HS,Public Schools,2148 N Long Av
Noble Street Charter,Public Schools,1400 W Augusta Bl
Orr HS,Public Schools,730 N Pulaski Rd
Clark Middle,Public Schools,5101 W Harrison St
Austin HS,Public Schools,231 N Pine Av
Acad of Comm & Technology,Public Schools,4319 W Washington Bl
Farragut HS,Public Schools,2345 S Christiana Av
Dunbar Vocational HS,Public Schools,3000 S Dr Martin Luther King Jr Dr
Wells HS,Public Schools,936 N Ashland Av
Senn Metro Acad,Public Schools,5900 N Glenwood Av
Roosevelt HS,Public Schools,3436 W Wilson Av
Ramirez Computer Science,Public Schools,2431 N Western Av
Ace Tech Charter,Public Schools,5410 S State St
Youth Connections Charter School,Public Schools,10 W 35th St
North-Grand,Public Schools,4338 W Wabansia Ave
School Of Entrepeneurship,Public Schools,7627 S Constance Ave
Hyde Park H S,Public Schools,6220 S Stony Island Av
Hancock,Public Schools,4034 W 56th St
Clemente Community HS,Public Schools,1147 N Western Av
Chicago Military Acad,Public Schools,3519 S Giles Av
Phillips Acad,Public Schools,244 E Pershing Rd
Kelly HS,Public Schools,4136 S California Av
King HS,Public Schools,4445 S Drexel Bl
Cregier Multiplex,Public Schools,2040 W Adams St
Crane Tech HS,Public Schools,2245 W Jackson Bl
Jones HS,Public Schools,606 S State St
Manley HS,Public Schools,2935 W Polk St
Collins HS,Public Schools,1313 S Sacramento Dr
